Q_max,Eads,sigma_E,group
180,12.5,1.5,High
220,14.2,2.0,High
195,11.8,1.8,High
250,15.0,1.2,High
210,13.5,2.3,High
175,11.2,1.6,High
240,14.8,1.4,High
200,12.0,2.1,High
190,13.0,1.9,High
230,14.5,1.3,High
85,6.5,4.0,Medium
110,7.8,3.5,Medium
70,5.2,4.8,Medium
95,7.0,3.8,Medium
120,8.5,3.2,Medium
65,5.0,5.0,Medium
105,7.5,3.6,Medium
80,6.0,4.5,Medium
90,6.8,4.2,Medium
115,8.0,3.3,Medium
15,2.0,6.0,Low
25,3.5,5.5,Low
10,1.5,7.0,Low
35,4.0,5.0,Low
20,2.8,6.5,Low
8,1.2,7.5,Low
30,3.8,5.2,Low
12,1.8,6.8,Low
18,2.5,6.2,Low
40,4.2,4.8,Low
