Q_max,Eads,sigma_E,isotherm_type,material_type,group
180,12.5,1.5,Langmuir,MOF,High
220,14.2,2.0,Langmuir,AC,High
195,11.8,1.8,Sips,MOF,High
250,15.0,1.2,Langmuir,MOF,High
210,13.5,2.3,Sips,AC,High
175,11.2,1.6,Langmuir,AC,High
240,14.8,1.4,Langmuir,MOF,High
200,12.0,2.1,Sips,MOF,High
190,13.0,1.9,Langmuir,AC,High
230,14.5,1.3,Langmuir,MOF,High
85,6.5,4.0,Sips,zeolite,Medium
110,7.8,3.5,Toth,biochar,Medium
70,5.2,4.8,Freundlich,zeolite,Medium
95,7.0,3.8,Sips,biochar,Medium
120,8.5,3.2,Toth,zeolite,Medium
65,5.0,5.0,Freundlich,biochar,Medium
105,7.5,3.6,Sips,zeolite,Medium
80,6.0,4.5,Toth,biochar,Medium
90,6.8,4.2,Sips,zeolite,Medium
115,8.0,3.3,Toth,biochar,Medium
15,2.0,6.0,Freundlich,clay,Low
25,3.5,5.5,Temkin,sand,Low
10,1.5,7.0,Freundlich,clay,Low
35,4.0,5.0,Freundlich,clay,Low
20,2.8,6.5,Temkin,sand,Low
8,1.2,7.5,Freundlich,clay,Low
30,3.8,5.2,Temkin,sand,Low
12,1.8,6.8,Freundlich,clay,Low
18,2.5,6.2,Temkin,sand,Low
40,4.2,4.8,Freundlich,clay,Low
